,id,loan_amnt,term,int_rate,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,issue_d,loan_status,purpose,addr_state,fico_range_low
473529,128108898,12600.0, 60 months,9.93,B,B2,Warhorse Loader,9 years,MORTGAGE,50000.0,Feb-18,Current,debt_consolidation,GA,700.0
812064,138239066,3000.0, 36 months,7.84,A,A4,Cook,9 years,OWN,20000.0,Aug-18,Current,home_improvement,AR,755.0
192081,55919391,13325.0, 60 months,19.99,E,E4,Designer,10+ years,MORTGAGE,63000.0,Aug-15,Fully Paid,debt_consolidation,CA,685.0
146883,59995415,7800.0, 36 months,11.53,B,B5,Assistant Manager,8 years,RENT,35000.0,Sep-15,Fully Paid,debt_consolidation,MA,715.0
533300,120015163,15000.0, 60 months,23.88,E,E2,Financial Worker,3 years,MORTGAGE,75000.0,Sep-17,Current,home_improvement,MN,670.0
600508,114983128,10000.0, 36 months,20.0,D,D4,machine operator,< 1 year,RENT,30000.0,Aug-17,Charged Off,credit_card,WI,670.0
801735,138426587,19000.0, 36 months,25.34,E,E3,Flight Attendant,2 years,RENT,30000.0,Aug-18,Current,debt_consolidation,CA,710.0
128776,60842811,25600.0, 60 months,13.33,C,C3,Plant Manager,10+ years,MORTGAGE,180000.0,Oct-15,Fully Paid,debt_consolidation,CA,675.0
768549,140403453,2000.0, 36 months,16.91,C,C5,General Manager,3 years,MORTGAGE,70000.0,Sep-18,Current,vacation,MI,700.0
104863,62105429,16025.0, 60 months,14.65,C,C5,Clerk,10+ years,MORTGAGE,90000.0,Oct-15,Fully Paid,debt_consolidation,VA,670.0
897288,110907727,9600.0, 36 months,10.91,B,B4,Media Technician,10+ years,RENT,45000.0,Jun-17,Current,debt_consolidation,CA,700.0
798480,139087937,30000.0, 60 months,15.02,C,C3,locomotive engineer,10+ years,MORTGAGE,115000.0,Aug-18,Current,debt_consolidation,ID,720.0
6094,67705138,3000.0, 36 months,11.99,C,C1,Operator,10+ years,MORTGAGE,75000.0,Dec-15,Fully Paid,debt_consolidation,GA,665.0
822351,138185815,20000.0, 36 months,6.11,A,A1,home health nurse/aide,5 years,OWN,50000.0,Aug-18,Current,debt_consolidation,OH,780.0
607520,113202959,15000.0, 60 months,16.02,C,C5,Loader,< 1 year,MORTGAGE,40000.0,Aug-17,Fully Paid,debt_consolidation,CA,700.0
951924,106926284,6000.0, 36 months,7.99,A,A5,Regional manager,4 years,RENT,72000.0,May-17,Fully Paid,medical,VA,705.0
370588,41071138,15500.0, 36 months,7.89,A,A5,Information Technology Specialist,10+ years,MORTGAGE,97951.0,Feb-15,Fully Paid,debt_consolidation,PA,675.0
628106,113130346,40000.0, 60 months,9.44,B,B1,teacher,< 1 year,MORTGAGE,140000.0,Jul-17,Current,debt_consolidation,NY,735.0
848348,137149397,7500.0, 36 months,10.47,B,B2,,,ANY,16385.0,Jul-18,Current,debt_consolidation,NC,705.0
12357,67565520,12000.0, 36 months,7.89,A,A5,sales,6 years,MORTGAGE,80000.0,Dec-15,Charged Off,credit_card,NM,675.0
847835,137210248,17000.0, 60 months,30.17,F,F3,Field Solutions Manager,4 years,MORTGAGE,64000.0,Jul-18,Fully Paid,credit_card,CO,690.0
737962,76121982,18000.0, 36 months,6.49,A,A2,FOOD SERVER,10+ years,RENT,68000.0,Apr-16,Fully Paid,debt_consolidation,NV,700.0
480830,128379091,16500.0, 36 months,11.99,B,B5,Maintenance Manager,9 years,RENT,43000.0,Feb-18,Fully Paid,debt_consolidation,NY,700.0
1003113,75223144,17900.0, 60 months,10.75,B,B4,Sr. Business Analyst,1 year,MORTGAGE,120000.0,Mar-16,Current,small_business,CA,700.0
441817,130115546,10000.0, 36 months,9.43,B,B1,Management ,9 years,MORTGAGE,50000.0,Mar-18,Current,credit_card,FL,660.0
115466,60840805,15000.0, 36 months,14.65,C,C5,engineer,10+ years,RENT,110000.0,Oct-15,Fully Paid,debt_consolidation,CA,660.0
832293,137679109,8400.0, 36 months,16.91,C,C5,Program Technician III,4 years,RENT,48000.0,Aug-18,Charged Off,debt_consolidation,CA,660.0
887159,111459484,15000.0, 36 months,7.97,A,A5,,,MORTGAGE,79500.0,Jun-17,Current,debt_consolidation,IL,695.0
756246,140801056,8000.0, 36 months,10.47,B,B2,Supervisor,10+ years,RENT,28000.0,Sep-18,Current,debt_consolidation,FL,685.0
932832,108237816,13000.0, 36 months,10.42,B,B3,,,OWN,45000.0,May-17,Fully Paid,credit_card,FL,760.0
564465,116812770,8500.0, 36 months,10.42,B,B3,welder,5 years,RENT,37000.0,Sep-17,Fully Paid,credit_card,CA,660.0
140064,60236217,10000.0, 60 months,13.99,C,C4,Technical Consultant,1 year,RENT,85000.0,Sep-15,Fully Paid,credit_card,CA,720.0
453399,129663649,18000.0, 60 months,14.07,C,C3,shipping ,2 years,MORTGAGE,42500.0,Mar-18,Current,home_improvement,WI,675.0
668431,81425011,35000.0, 60 months,22.35,E,E2,Court Security Officer,10+ years,MORTGAGE,85000.0,Jun-16,Fully Paid,debt_consolidation,CA,690.0
217256,55300542,13000.0, 36 months,6.24,A,A2,General Manager,2 years,RENT,65000.0,Jul-15,Fully Paid,credit_card,NY,705.0
676275,80630999,12000.0, 36 months,6.49,A,A2,Area Manager,10+ years,MORTGAGE,85000.0,Jun-16,Fully Paid,home_improvement,MO,750.0
376545,40715401,18175.0, 36 months,16.55,D,D2,truck driver,10+ years,OWN,82000.0,Feb-15,Fully Paid,debt_consolidation,GA,690.0
522082,126637325,10000.0, 36 months,6.72,A,A3,Manager,10+ years,RENT,87000.0,Jan-18,Current,debt_consolidation,FL,770.0
171664,58191169,16000.0, 36 months,6.89,A,A3,Marketing Manager,3 years,MORTGAGE,72000.0,Aug-15,Fully Paid,credit_card,MA,705.0
534948,119378452,30000.0, 60 months,14.08,C,C3,Criminal Investigator,10+ years,RENT,110000.0,Sep-17,Charged Off,debt_consolidation,NC,705.0
145774,60065915,6550.0, 36 months,18.55,E,E2,manager,2 years,RENT,26000.0,Sep-15,Fully Paid,debt_consolidation,FL,670.0
22493,66405979,10000.0, 36 months,10.64,B,B4,client Advisor,2 years,RENT,60000.0,Dec-15,Fully Paid,credit_card,CA,665.0
731301,77028329,15000.0, 36 months,14.46,C,C4,Truck Driver ,2 years,MORTGAGE,60000.0,Apr-16,Fully Paid,debt_consolidation,WI,730.0
569519,117836167,10000.0, 60 months,16.02,C,C5,External Affairs Specialist,9 years,MORTGAGE,79000.0,Aug-17,Current,debt_consolidation,VA,660.0
637485,113091893,4000.0, 36 months,12.62,C,C1,Store manager,4 years,RENT,70000.0,Jul-17,Late (31-120 days),debt_consolidation,FL,690.0
818056,138326407,4000.0, 36 months,16.14,C,C4,Shift Supervisor,5 years,RENT,22000.0,Aug-18,Current,credit_card,CA,660.0
928374,107813747,13000.0, 36 months,14.08,C,C3,Ironworker ,3 years,RENT,80000.0,May-17,Charged Off,major_purchase,NY,660.0
530971,118974576,23000.0, 60 months,7.97,A,A5,,,MORTGAGE,95700.0,Sep-17,Current,medical,TX,825.0
682901,80848228,18000.0, 36 months,12.99,C,C2,Project Manager,9 years,MORTGAGE,87000.0,Jun-16,Fully Paid,debt_consolidation,CA,730.0
689858,79072269,20000.0, 36 months,19.99,D,D5,Foreman,1 year,RENT,62000.0,May-16,Charged Off,debt_consolidation,CA,660.0
754212,139714413,25000.0, 36 months,7.84,A,A4,Teacher,10+ years,MORTGAGE,90000.0,Sep-18,Current,debt_consolidation,CA,790.0
857376,136815976,8500.0, 36 months,10.08,B,B1,Coordinator of Student Involvement,1 year,RENT,39403.0,Jul-18,Current,debt_consolidation,CT,680.0
352018,42405594,5000.0, 36 months,12.69,C,C2,Account Executive,2 years,RENT,40000.0,Mar-15,Fully Paid,credit_card,CA,665.0
886079,111429557,20000.0, 60 months,16.02,C,C5,maintenance mechanic,1 year,RENT,70000.0,Jun-17,Current,debt_consolidation,IL,675.0
676811,79066205,5000.0, 36 months,10.75,B,B4,Distric Representative,2 years,OWN,25000.0,Jun-16,Current,debt_consolidation,FL,730.0
439624,130200135,5000.0, 36 months,11.98,B,B5,Service Rep,10+ years,RENT,46000.0,Mar-18,Current,major_purchase,IL,665.0
888808,111518710,9000.0, 36 months,12.62,C,C1,Mechanical Designer,5 years,MORTGAGE,62000.0,Jun-17,Fully Paid,debt_consolidation,MI,685.0
440004,130166108,5000.0, 36 months,5.31,A,A1,IT Security Engineer,6 years,OWN,107000.0,Mar-18,Current,credit_card,TX,660.0
657546,82679184,3000.0, 36 months,10.99,B,B4,owner/delivery,10+ years,OWN,68871.0,Jun-16,Fully Paid,car,IL,675.0
789971,139429318,16000.0, 60 months,14.47,C,C2,,,MORTGAGE,96000.0,Aug-18,Current,home_improvement,AL,715.0
5696,67849800,15000.0, 36 months,9.8,B,B3,manager,4 years,MORTGAGE,85000.0,Dec-15,Fully Paid,debt_consolidation,FL,665.0
901639,109852600,9500.0, 36 months,5.32,A,A1,Office Manager ,6 years,RENT,58000.0,Jun-17,Fully Paid,debt_consolidation,OR,755.0
744740,74534862,24700.0, 36 months,11.99,C,C1,Foreman,10+ years,MORTGAGE,65000.0,Apr-16,Fully Paid,debt_consolidation,CA,765.0
666146,81990533,3600.0, 36 months,13.99,C,C3,,,RENT,32000.0,Jun-16,Fully Paid,debt_consolidation,IL,660.0
811372,138500295,6500.0, 36 months,18.94,D,D2,Registered nurse,< 1 year,MORTGAGE,82000.0,Aug-18,Current,debt_consolidation,SC,695.0
143443,60075821,19600.0, 36 months,9.99,B,B3,Systems Support Analyst,10+ years,MORTGAGE,60000.0,Sep-15,Fully Paid,debt_consolidation,OR,665.0
588451,116696010,6000.0, 36 months,16.02,C,C5,Customer Service Representative ,2 years,RENT,27000.0,Aug-17,Current,debt_consolidation,NY,660.0
222612,55069342,12000.0, 60 months,17.57,D,D4,Cook,10+ years,RENT,25000.0,Jul-15,Charged Off,debt_consolidation,CA,660.0
22904,66515185,15000.0, 60 months,14.48,C,C5,Security therapy aide ,10+ years,RENT,53000.0,Dec-15,Current,debt_consolidation,IL,670.0
70488,64280114,21000.0, 36 months,9.17,B,B2,autotech lead,10+ years,RENT,52000.0,Nov-15,Fully Paid,debt_consolidation,PA,715.0
805750,138398840,20000.0, 60 months,12.73,B,B5,Quality Management Specialist Nurse ,1 year,RENT,120000.0,Aug-18,Current,debt_consolidation,CA,690.0
655282,83778641,21000.0, 60 months,24.99,E,E4,Manager Transportation,2 years,RENT,96000.0,Jun-16,Fully Paid,debt_consolidation,MA,700.0
552258,118192665,4200.0, 36 months,11.99,B,B5,Class A Driver,5 years,RENT,75000.0,Sep-17,Current,vacation,CA,680.0
397227,39539289,8000.0, 36 months,17.86,D,D5,Assistant claims specialist,9 years,RENT,44000.0,Jan-15,Fully Paid,debt_consolidation,FL,665.0
873493,135957893,6000.0, 36 months,14.03,C,C2,Supervisor,10+ years,MORTGAGE,115000.0,Jul-18,Current,other,LA,680.0
765872,140539707,25000.0, 60 months,18.94,D,D2,vendor manager,10+ years,RENT,50000.0,Sep-18,Current,other,MA,730.0
497034,127337035,10000.0, 36 months,10.42,B,B3,TAM,< 1 year,MORTGAGE,32000.0,Jan-18,Current,debt_consolidation,NY,700.0
92514,63355004,20000.0, 60 months,17.86,D,D5,Paralegal,6 years,MORTGAGE,50000.0,Oct-15,Fully Paid,debt_consolidation,TX,705.0
274373,50054003,8400.0, 36 months,9.99,B,B3,Cash and Collection Analyst,10+ years,RENT,58000.0,May-15,Fully Paid,credit_card,TX,680.0
176454,57853753,16800.0, 60 months,13.33,C,C3,Director Government Sales & Operations,2 years,RENT,72000.0,Aug-15,Charged Off,debt_consolidation,MA,660.0
495567,127365388,25000.0, 36 months,11.99,B,B5,Budget Manager,2 years,RENT,87500.0,Jan-18,Current,credit_card,WA,660.0
910513,109685333,6400.0, 36 months,9.93,B,B2,Dental assistant ,10+ years,OWN,80000.0,Jun-17,Current,major_purchase,NY,715.0
654918,83675287,5000.0, 36 months,13.49,C,C2,Valet,2 years,RENT,20000.0,Jun-16,Fully Paid,credit_card,WI,660.0
83608,63395172,21000.0, 60 months,13.33,C,C3,Officer,10+ years,MORTGAGE,190000.0,Oct-15,Fully Paid,debt_consolidation,CA,685.0
634423,113011137,15000.0, 60 months,24.85,E,E3,Installer,4 years,MORTGAGE,45000.0,Jul-17,Charged Off,debt_consolidation,PA,715.0
745591,75477188,6725.0, 36 months,9.75,B,B3,Forman painter,8 years,RENT,78000.0,Apr-16,Charged Off,credit_card,CA,665.0
259893,51066184,20000.0, 36 months,9.17,B,B2,Sales,10+ years,MORTGAGE,130000.0,Jun-15,Charged Off,credit_card,PA,660.0
928654,109312062,15000.0, 36 months,12.62,C,C1,VP of Retail Operations ,7 years,MORTGAGE,78000.0,May-17,Current,debt_consolidation,VA,670.0
849882,137228387,40000.0, 60 months,16.14,C,C4,Business Account Executive,2 years,OWN,125000.0,Jul-18,Current,debt_consolidation,FL,685.0
505639,127094189,16000.0, 60 months,12.62,C,C1,President and COO,1 year,RENT,250000.0,Jan-18,Current,credit_card,NY,665.0
525221,124999495,28800.0, 36 months,12.62,C,C1,Senior Business Analyst ,2 years,RENT,100000.0,Jan-18,Current,credit_card,IL,685.0
514766,126862596,1000.0, 36 months,7.97,A,A5,,,RENT,23500.0,Jan-18,Fully Paid,vacation,UT,825.0
177576,57783378,35000.0, 36 months,13.33,C,C3,social worker,9 years,RENT,83000.0,Aug-15,Charged Off,debt_consolidation,AZ,715.0
714261,77508190,35000.0, 60 months,11.47,B,B5,Equipment Operator,10+ years,MORTGAGE,70500.0,May-16,Fully Paid,debt_consolidation,NV,765.0
105649,61752202,10000.0, 36 months,7.89,A,A5,Office Manager,3 years,RENT,45000.0,Oct-15,Charged Off,debt_consolidation,WI,685.0
685616,79764221,35000.0, 36 months,13.67,C,C3,Systems Engineer,3 years,MORTGAGE,191000.0,Jun-16,Fully Paid,debt_consolidation,TX,695.0
60201,65372760,9000.0, 36 months,10.99,B,B4,SENIOR VETERINARY PATHOLOGIST,3 years,RENT,104977.0,Nov-15,Fully Paid,debt_consolidation,CA,760.0
618036,114122537,5500.0, 36 months,13.59,C,C2,Secretary,10+ years,RENT,22638.0,Jul-17,Fully Paid,debt_consolidation,NY,680.0
857265,136791377,12000.0, 36 months,7.21,A,A3,Graphic Designer,4 years,RENT,65000.0,Jul-18,Current,credit_card,NY,690.0
514759,126569944,25000.0, 36 months,10.42,B,B3,Owner,1 year,MORTGAGE,100000.0,Jan-18,Current,debt_consolidation,DE,750.0
902746,110661993,14000.0, 36 months,9.93,B,B2,chiropractic assistant,10+ years,MORTGAGE,72000.0,Jun-17,Current,credit_card,CA,660.0
50484,65773877,10000.0, 36 months,12.05,C,C1,structures mechanic,4 years,MORTGAGE,45000.0,Nov-15,Fully Paid,debt_consolidation,OK,685.0
541395,119271814,10000.0, 60 months,10.42,B,B3,Head Cashier,< 1 year,RENT,32000.0,Sep-17,Current,debt_consolidation,CA,745.0
483887,128319720,20000.0, 36 months,21.45,D,D5,Administration ,10+ years,RENT,76000.0,Feb-18,Current,debt_consolidation,TX,665.0
421488,129703185,40000.0, 60 months,10.9,B,B4,workstation sales director,< 1 year,OWN,300000.0,Mar-18,Current,debt_consolidation,MD,685.0
921691,109652083,35000.0, 60 months,30.84,G,G2,Senior Software Engineer,3 years,RENT,140000.0,May-17,Fully Paid,debt_consolidation,CA,675.0
428973,130710969,2425.0, 36 months,6.71,A,A3,Restoration Ecologist,2 years,RENT,30000.0,Mar-18,Current,debt_consolidation,IL,785.0
888829,111670456,22000.0, 60 months,26.3,E,E5,IT specialist,10+ years,MORTGAGE,77000.0,Jun-17,Fully Paid,credit_card,AZ,660.0
788273,139486117,4000.0, 36 months,6.11,A,A1,Brand Ambassador ,6 years,MORTGAGE,60000.0,Sep-18,Current,credit_card,TX,710.0
966014,106076065,20000.0, 36 months,11.49,B,B5,Business Support Manager,10+ years,MORTGAGE,106000.0,Apr-17,Charged Off,other,NC,660.0
438159,130290773,15000.0, 36 months,7.96,A,A5,Teacher,10+ years,MORTGAGE,118000.0,Mar-18,Current,debt_consolidation,NY,700.0
127356,60813920,15000.0, 60 months,12.29,C,C1,electrician ,2 years,MORTGAGE,80000.0,Oct-15,Charged Off,home_improvement,SC,665.0
454789,129167026,15125.0, 36 months,6.71,A,A3,Business Consultant,2 years,MORTGAGE,105000.0,Mar-18,Current,debt_consolidation,AZ,770.0
87944,63104699,8000.0, 36 months,14.65,C,C5,Billing Supervisor,10+ years,RENT,37000.0,Oct-15,Fully Paid,debt_consolidation,AZ,675.0
401497,39389400,9000.0, 36 months,10.49,B,B3,Investigator,10+ years,MORTGAGE,43700.0,Jan-15,Fully Paid,credit_card,CO,675.0
31149,66621492,17050.0, 60 months,21.99,F,F1,School Teacher,6 years,MORTGAGE,42000.0,Dec-15,Charged Off,debt_consolidation,TX,695.0
888085,110648301,2500.0, 36 months,10.91,B,B4,,,OWN,36000.0,Jun-17,Current,debt_consolidation,TX,665.0
43470,65717286,12000.0, 36 months,13.67,C,C4,Carpinter,9 years,RENT,52800.0,Dec-15,Fully Paid,house,NY,740.0
802624,138950881,9600.0, 36 months,14.47,C,C2,Lead Carpenter,< 1 year,RENT,35000.0,Aug-18,Current,credit_card,NC,685.0
575588,115375135,3000.0, 36 months,15.05,C,C4,messenger,10+ years,RENT,39000.0,Aug-17,Fully Paid,credit_card,NY,675.0
613770,113267462,5400.0, 36 months,13.59,C,C2,Teacher,10+ years,MORTGAGE,50000.0,Jul-17,Current,debt_consolidation,NC,660.0
825842,137215607,20000.0, 60 months,16.91,C,C5,Retail Operations Manager,4 years,RENT,74000.0,Aug-18,Current,debt_consolidation,CA,665.0
349763,43054446,35000.0, 60 months,15.61,D,D1,,,MORTGAGE,107974.0,Mar-15,Charged Off,debt_consolidation,CA,680.0
382573,40471679,16475.0, 36 months,16.49,D,D3,TAS,5 years,RENT,46000.0,Feb-15,Fully Paid,debt_consolidation,NM,670.0
482412,128379038,10800.0, 36 months,7.35,A,A4,Sr maintenance technician ,10+ years,RENT,66000.0,Feb-18,Current,credit_card,VA,775.0
693246,78519837,2900.0, 36 months,23.99,E,E4,,,RENT,9072.0,May-16,In Grace Period,debt_consolidation,PA,675.0
346440,43265697,13325.0, 36 months,8.18,B,B1,Certified Nurses Aid/Home Health Aid,10+ years,RENT,34478.0,Mar-15,Fully Paid,debt_consolidation,CA,705.0
609211,114948594,1600.0, 36 months,12.62,C,C1,Mechanic,5 years,MORTGAGE,65000.0,Aug-17,Current,home_improvement,TX,695.0
494332,127716553,32200.0, 60 months,13.59,C,C2,AA Assembler,8 years,MORTGAGE,31000.0,Jan-18,Current,debt_consolidation,TX,700.0
354280,42494748,12000.0, 36 months,9.99,B,B3,miner Heavy Equipment Operator,10+ years,MORTGAGE,81000.0,Mar-15,Fully Paid,debt_consolidation,CA,700.0
381729,40383594,7000.0, 36 months,8.19,A,A5,,,OWN,40000.0,Feb-15,Fully Paid,debt_consolidation,NC,660.0
984633,76152981,9000.0, 36 months,5.32,A,A1,Medical Assistant ,2 years,RENT,32000.0,Mar-16,Fully Paid,debt_consolidation,NV,730.0
791621,139301063,28000.0, 36 months,18.94,D,D2,OWNER Operator,2 years,RENT,100000.0,Aug-18,Late (31-120 days),debt_consolidation,SC,670.0
574107,116807501,10000.0, 36 months,24.85,E,E3,Heavy equipment operator,3 years,MORTGAGE,62000.0,Aug-17,Current,debt_consolidation,OH,695.0
592183,116269713,2100.0, 36 months,15.05,C,C4,Sales associate ,3 years,RENT,25000.0,Aug-17,Current,debt_consolidation,NY,740.0
85268,63477410,8000.0, 36 months,9.99,B,B3,Firefighter,1 year,RENT,54000.0,Oct-15,Charged Off,credit_card,FL,695.0
898383,110967552,12000.0, 36 months,19.03,D,D3,Bookkeeper,8 years,OWN,60000.0,Jun-17,Current,debt_consolidation,CA,660.0
900252,110666936,5800.0, 36 months,9.44,B,B1,Back office supervisor,3 years,MORTGAGE,34000.0,Jun-17,Fully Paid,other,GA,725.0
644912,112008793,3000.0, 36 months,12.62,C,C1,Superintendent ,< 1 year,MORTGAGE,58000.0,Jul-17,Charged Off,debt_consolidation,FL,695.0
823926,138029240,40000.0, 36 months,6.11,A,A1,IT Lead,6 years,MORTGAGE,94000.0,Aug-18,Current,debt_consolidation,NY,720.0
67817,64731406,23500.0, 60 months,16.55,D,D2,Developmental Therapist,5 years,RENT,54600.0,Nov-15,Charged Off,credit_card,CT,665.0
258152,51236185,3600.0, 36 months,9.99,B,B3,Operations Supervisor,10+ years,MORTGAGE,39500.0,Jun-15,Fully Paid,debt_consolidation,AR,695.0
372172,40990236,14250.0, 36 months,7.89,A,A5,Fleet Service Agent,8 years,MORTGAGE,34000.0,Feb-15,Fully Paid,debt_consolidation,AZ,665.0
425370,130565229,8000.0, 36 months,16.01,C,C5,Front desk ,< 1 year,RENT,30000.0,Mar-18,Current,credit_card,OH,660.0
789707,139370560,14000.0, 36 months,6.11,A,A1,Financial Advisor,4 years,OWN,247000.0,Aug-18,Current,debt_consolidation,AZ,720.0
672470,81363612,16100.0, 60 months,17.27,D,D2,Paralegal,9 years,OWN,35000.0,Jun-16,In Grace Period,debt_consolidation,NC,710.0
429375,130665057,10000.0, 60 months,10.9,B,B4,Dept manager,10+ years,MORTGAGE,30000.0,Mar-18,Charged Off,home_improvement,CO,760.0
876857,136033301,6000.0, 36 months,5.31,A,A1,Lead ,2 years,RENT,35000.0,Jul-18,Current,credit_card,TX,710.0
256142,51466763,15550.0, 36 months,17.57,D,D4,registered nurse,10+ years,MORTGAGE,75000.0,Jun-15,Charged Off,debt_consolidation,NC,665.0
895043,111407873,16800.0, 60 months,10.42,B,B3,Operations Manager/Industrial Eng. Mgr,10+ years,RENT,110000.0,Jun-17,Current,debt_consolidation,FL,765.0
194792,55961272,20000.0, 60 months,13.33,C,C3,Project Editor,9 years,RENT,51000.0,Aug-15,Charged Off,debt_consolidation,FL,715.0
350921,42503288,12000.0, 36 months,6.92,A,A4,supervisor,10+ years,MORTGAGE,50000.0,Mar-15,Fully Paid,debt_consolidation,TX,765.0
969680,104954967,15000.0, 36 months,5.32,A,A1,Engineer,10+ years,RENT,129000.0,Apr-17,Current,credit_card,PA,790.0
828378,137736641,15000.0, 36 months,13.56,C,C1,Administrative Assistant,4 years,RENT,22000.0,Aug-18,Current,debt_consolidation,AR,715.0
589651,116024655,16500.0, 36 months,9.44,B,B1,,,MORTGAGE,65000.0,Aug-17,Fully Paid,credit_card,OH,720.0
734534,76578799,7000.0, 36 months,9.75,B,B3,Warehouse worker,10+ years,MORTGAGE,95000.0,Apr-16,Fully Paid,other,MT,730.0
185974,57324116,24000.0, 60 months,17.57,D,D4,Supervisor,10+ years,MORTGAGE,78600.0,Jul-15,Fully Paid,debt_consolidation,IL,690.0
389166,39987867,4200.0, 36 months,8.67,B,B1,Senior Manager,4 years,MORTGAGE,214835.0,Jan-15,Fully Paid,other,NY,690.0
786108,139642824,11000.0, 36 months,6.11,A,A1,Account supervisor,2 years,RENT,90000.0,Sep-18,Current,credit_card,GA,740.0
375516,40836809,21925.0, 60 months,21.67,E,E5,over road driver,3 years,RENT,51112.0,Feb-15,Charged Off,credit_card,GA,675.0
864410,136467059,20000.0, 36 months,18.94,D,D2,Manager,2 years,OWN,32000.0,Jul-18,Current,major_purchase,TX,690.0
1006318,74615226,15000.0, 60 months,6.49,A,A2,Manager,10+ years,MORTGAGE,80000.0,Mar-16,Current,home_improvement,VA,730.0
513856,126781910,4000.0, 36 months,6.08,A,A2,,,RENT,50000.0,Jan-18,Current,debt_consolidation,MI,830.0
967591,105741183,20000.0, 36 months,13.49,C,C2,Sr Vice President ,< 1 year,MORTGAGE,175000.0,Apr-17,Fully Paid,debt_consolidation,TX,690.0
712812,77511247,26000.0, 60 months,8.39,B,B1,Product Designer,2 years,MORTGAGE,135000.0,May-16,Current,debt_consolidation,CT,780.0
706751,77941567,16000.0, 60 months,14.46,C,C4,PORTER,10+ years,RENT,50000.0,May-16,Charged Off,debt_consolidation,TX,665.0
156055,59071727,12000.0, 60 months,19.19,E,E3,Application Dev.,2 years,RENT,48600.0,Aug-15,Charged Off,debt_consolidation,WI,675.0
174980,57864234,18000.0, 36 months,7.26,A,A4,card dealer,6 years,RENT,38000.0,Aug-15,Fully Paid,credit_card,CA,695.0
745211,76192370,10000.0, 36 months,8.39,B,B1,RN,6 years,MORTGAGE,130000.0,Apr-16,Current,debt_consolidation,CA,675.0
277773,49673414,12900.0, 36 months,16.55,D,D2,Operations Consultant  Manager,10+ years,MORTGAGE,51000.0,May-15,Fully Paid,debt_consolidation,FL,685.0
216802,55290789,4800.0, 36 months,12.69,C,C2,nypd,6 years,RENT,90000.0,Jul-15,Fully Paid,vacation,NY,715.0
187095,57324697,35000.0, 36 months,16.99,D,D3,E8,10+ years,RENT,85000.0,Aug-15,Fully Paid,debt_consolidation,CA,690.0
511498,126301429,21000.0, 36 months,9.93,B,B2,Order picker ,< 1 year,OWN,45000.0,Jan-18,Current,home_improvement,OK,700.0
686476,79956017,1400.0, 36 months,11.99,C,C1,Administrative Assistant II,2 years,RENT,32000.0,May-16,Fully Paid,other,TX,675.0
682202,79013208,12000.0, 60 months,18.25,D,D3,,,OWN,90000.0,Jun-16,Charged Off,home_improvement,TX,710.0
787863,139222709,25000.0, 60 months,10.08,B,B1,Tech Support Hardware Supervisor,10+ years,OWN,75000.0,Sep-18,Current,debt_consolidation,AL,740.0
661436,81517934,5000.0, 36 months,9.75,B,B3,Coach Operator,< 1 year,RENT,34590.0,Jun-16,Fully Paid,debt_consolidation,CA,710.0
63727,65057897,9600.0, 36 months,10.99,B,B4,Professor,10+ years,MORTGAGE,63000.0,Nov-15,Fully Paid,debt_consolidation,KY,660.0
155499,59121982,10000.0, 60 months,20.99,E,E5,Secretary,< 1 year,RENT,20000.0,Sep-15,Charged Off,debt_consolidation,NV,665.0
15725,67237720,8000.0, 36 months,11.22,B,B5,Account Development Manager,< 1 year,RENT,60000.0,Dec-15,Fully Paid,debt_consolidation,CA,700.0
222541,54918701,14950.0, 36 months,13.99,C,C4,Sales,< 1 year,RENT,34000.0,Jul-15,Fully Paid,debt_consolidation,CA,695.0
378566,40423089,8000.0, 36 months,7.49,A,A4,Compliance Director,10+ years,RENT,90000.0,Feb-15,Fully Paid,debt_consolidation,CA,705.0
26062,66573929,21000.0, 36 months,10.64,B,B4,Owner,6 years,MORTGAGE,100000.0,Dec-15,Charged Off,credit_card,FL,685.0
367205,41111977,4200.0, 36 months,11.53,B,B5,Police Officer,8 years,MORTGAGE,65000.0,Feb-15,Fully Paid,other,AR,660.0
1012611,73599436,28000.0, 60 months,9.75,B,B3,Inspector,10+ years,MORTGAGE,103000.0,Mar-16,Current,debt_consolidation,FL,720.0
305503,46724269,7200.0, 36 months,9.99,B,B3,LPN,2 years,MORTGAGE,35000.0,Apr-15,Fully Paid,credit_card,PA,680.0
53271,64923149,20000.0, 60 months,13.67,C,C4,Purchasing Agent,10+ years,RENT,55172.0,Nov-15,Fully Paid,credit_card,NY,675.0
85179,60884737,21600.0, 60 months,12.29,C,C1,Information Systems Security Officer,< 1 year,MORTGAGE,100000.0,Oct-15,Fully Paid,debt_consolidation,TX,670.0
1020401,73712886,10000.0, 36 months,11.47,B,B5,Driver,1 year,RENT,57000.0,Mar-16,Fully Paid,credit_card,NJ,665.0
684434,80650434,35000.0, 36 months,12.99,C,C2,Managing Director,1 year,RENT,200000.0,Jun-16,Current,credit_card,CA,690.0
15547,67268274,33925.0, 60 months,20.99,E,E5,Mechanical Engineer 4,5 years,MORTGAGE,85980.0,Dec-15,Charged Off,credit_card,KS,665.0
279719,49077154,8000.0, 36 months,12.29,C,C1,Paraprofessional,7 years,RENT,64000.0,May-15,Fully Paid,debt_consolidation,NJ,665.0
